year,bowler,economy,bowling_strike_rate,bowling_average,per_matches_played,per_balls_faced,per_out,per_runs,per_extras,F,run_1,out_1,str_rate1,bowl_avg1,eco_1,ext,bf,RFM_Segment_Concat,cluster
2013,DT Johnston,6.169014084507044,20.285714285714285,20.857142857142858,100.0,15.074309978768575,10.44776119402985,14.989733059548257,38.095238095238095,4,4,3,3,3,1,4,4,44314,8
2008,WK McCallan,0.0,2.0,0.0,100.0,1.8867924528301887,10.0,0.0,0.0,4,1,3,1,1,1,1,1,41311,8
2009,WK McCallan,6.915254237288135,13.111111111111109,15.111111111111109,100.0,20.10221465076661,31.03448275862069,19.12798874824191,5.0,4,4,4,2,2,2,2,4,44422,8
2008,RG Aga,3.0,12.0,6.0,100.0,20.168067226890763,33.33333333333333,19.672131147540984,18.181818181818183,4,4,4,2,1,1,4,4,44414,8
2012,RG Aga,5.526315789473684,38.0,35.0,100.0,10.052910052910052,6.666666666666668,9.114583333333332,16.666666666666664,4,3,2,4,4,1,4,3,43214,8
2013,RG Aga,5.9444444444444455,13.5,13.375,92.85714285714286,13.194868662186925,15.23809523809524,12.166003411028994,5.263157894736842,4,3,4,2,2,1,2,3,43412,8
2008,AO Suji,6.3,0.0,0.0,100.0,16.80672268907563,0.0,34.42622950819672,54.54545454545454,4,4,1,1,1,1,4,4,44114,8
2010,AO Suji,6.947368421052633,19.0,22.0,100.0,15.573770491803279,11.111111111111109,16.666666666666664,83.33333333333334,4,4,3,3,3,2,4,4,44324,8
2008,K Weeraratne,5.25,9.6,8.4,100.0,19.27710843373494,35.714285714285715,16.666666666666664,38.095238095238095,4,4,4,1,1,1,4,4,44414,8
2009,K Weeraratne,12.230769230769232,0.0,0.0,15.384615384615385,1.6539440203562341,0.0,2.79831045406547,1.7857142857142856,1,1,1,1,1,4,1,1,11141,1
2008,Naeem Islam,9.5,0.0,0.0,50.0,5.741626794258371,0.0,6.312292358803988,5.0,2,2,1,1,1,4,2,2,22142,4
2009,Naeem Islam,8.511627906976743,21.5,30.5,100.0,12.536443148688047,14.285714285714285,14.628297362110311,5.0,4,4,4,3,4,3,2,3,44432,8
2010,Naeem Islam,9.0,0.0,0.0,33.33333333333333,4.0540540540540535,0.0,4.736842105263158,0.0,2,2,1,1,1,4,1,2,22141,4
2011,Naeem Islam,5.2799999999999985,25.0,22.0,50.0,10.0,6.666666666666668,9.053497942386832,4.166666666666666,2,3,2,4,3,1,2,3,23212,5
2008,J Louw,4.8,0.0,0.0,50.0,9.345794392523365,0.0,8.16326530612245,4.545454545454546,2,3,1,1,1,1,2,3,23112,5
2009,J Louw,7.333333333333332,13.5,16.5,8.333333333333332,1.8607856650585803,2.272727272727273,1.977231875374476,3.4482758620689653,1,1,2,2,2,2,2,1,11222,2
2008,RK Kleinveldt,10.5,8.0,14.0,50.0,3.738317757009345,6.666666666666668,7.142857142857142,13.636363636363635,2,2,2,1,2,4,4,2,22244,4
2010,RK Kleinveldt,11.28,12.5,23.5,9.090909090909092,1.836884643644379,2.409638554216868,3.2060027285129604,0.9259259259259258,1,1,2,2,3,4,1,1,11241,2
2012,RK Kleinveldt,6.695652173913044,17.25,19.25,20.0,4.548450889914305,5.063291139240507,4.6163069544364514,0.7936507936507936,1,2,2,3,2,2,1,2,12221,2
